subject_id,model_name,roc_auc,f1_seizure,recall_seizure,precision_seizure,accuracy
sub-071,EEG_Only,0.9699274741697326,0.8347694462400345,0.7952380952380953,0.8992063492063491,0.9840182648401826
sub-071,Fused_EEG_ECG,0.9713221658697886,0.8278294581235758,0.7607142857142858,0.9306878306878307,0.9840182648401826
sub-072,ECG_Only,0.6831558370474627,0.2611268199205741,0.2962233169129721,0.23654147382554414,0.8013443034117412
sub-072,EEG_Only,0.9959023379466729,0.9657241472425985,0.9602627257799672,0.971940392926674,0.991894330954139
sub-072,Fused_EEG_ECG,0.9955403080772539,0.9606108494182778,0.9507389162561577,0.971599822471161,0.9907738827748673
sub-073,ECG_Only,0.521906724245355,0.211852484227211,0.24176979096530535,0.1887366502347613,0.6999890880128472
sub-073,EEG_Only,0.9998700586334933,0.9968020738028657,0.9936422805754839,1.0,0.998937453353956
sub-073,Fused_EEG_ECG,0.9997685443710366,0.9940466183102301,0.9886435575367803,0.9995386389850058,0.9980265509174928
sub-074,ECG_Only,0.5994775795862753,0.0,0.0,0.0,0.9543035993740219
sub-074,EEG_Only,0.9949281555803294,0.8673208273208274,0.8200000000000001,0.9477777777777778,0.9943661971830987
sub-074,Fused_EEG_ECG,0.9922536025434575,0.7699999999999999,0.6711111111111111,0.9333333333333333,0.9909233176838811
sub-075,ECG_Only,0.5527777777777777,0.18222222222222223,0.16666666666666666,0.2222222222222222,0.8975438596491228
sub-075,EEG_Only,1.0,0.9288888888888889,1.0,0.888888888888889,0.9863157894736841
sub-075,Fused_EEG_ECG,1.0,0.9555555555555556,0.9666666666666667,0.9666666666666667,0.9931578947368421
sub-076,ECG_Only,0.5522792022792022,0.0857142857142857,0.08888888888888888,0.1,0.8591133004926108
sub-076,EEG_Only,1.0,0.9666666666666667,0.9555555555555556,1.0,0.9954022988505747
sub-076,Fused_EEG_ECG,1.0,0.9666666666666667,0.9555555555555556,1.0,0.9954022988505747
sub-077,ECG_Only,0.638888888888889,0.13810495318235255,0.13333333333333333,0.14796536796536797,0.7547169811320754
sub-077,EEG_Only,0.997962962962963,0.8983594607433616,0.9333333333333333,0.8777441077441078,0.9672955974842767
sub-077,Fused_EEG_ECG,0.9981481481481482,0.8944378921159106,0.9333333333333333,0.8703367003367003,0.9660377358490566
sub-078,ECG_Only,0.9443019943019944,0.7785714285714286,0.7777777777777778,0.8233333333333334,0.9188888888888889
sub-078,EEG_Only,0.9874643874643875,0.8538095238095238,0.8666666666666667,0.8566666666666667,0.9438888888888889
sub-078,Fused_EEG_ECG,0.9891737891737892,0.8696825396825396,0.9111111111111111,0.8511111111111112,0.948888888888889
sub-079,ECG_Only,0.7606751620836127,0.09386243386243386,0.1111111111111111,0.08333333333333333,0.943736887572504
sub-079,EEG_Only,0.9302839257768836,0.6371428571428571,0.5444444444444444,0.8277777777777777,0.9809329877823029
sub-079,Fused_EEG_ECG,0.9294612117147328,0.46444444444444444,0.3555555555555555,0.7333333333333333,0.9773047019622362
sub-080,ECG_Only,0.7210227272727272,0.16185666185666184,0.19444444444444445,0.1461111111111111,0.8492063492063492
sub-080,EEG_Only,1.0,0.9378306878306879,1.0,0.8933333333333333,0.9868253968253968
sub-080,Fused_EEG_ECG,1.0,0.9738095238095238,1.0,0.9566666666666667,0.9943915343915344
sub-081,ECG_Only,0.46839147286821703,0.014814814814814814,0.016666666666666666,0.013333333333333334,0.8304656182547024
sub-081,EEG_Only,1.0,1.0,1.0,1.0,1.0
sub-081,Fused_EEG_ECG,1.0,1.0,1.0,1.0,1.0
sub-082,ECG_Only,0.8694949494949495,0.6288023088023088,0.7611111111111111,0.5747619047619048,0.8238095238095239
sub-082,EEG_Only,0.7929292929292929,0.5874603174603175,0.5555555555555555,0.7133333333333333,0.8380952380952381
sub-082,Fused_EEG_ECG,0.8522727272727272,0.6457671957671958,0.6166666666666667,0.7144444444444444,0.8714285714285714
sub-084,ECG_Only,0.7475313449482712,0.24947291502438926,0.3111111111111111,0.2129247745718334,0.8173996265172736
sub-084,EEG_Only,0.9996903965232106,0.9393536833536834,1.0,0.8885347985347986,0.9866059757236229
sub-084,Fused_EEG_ECG,0.9996389561939926,0.9368921448921449,1.0,0.8841391941391942,0.986045751633987
sub-085,ECG_Only,0.6915064102564102,0.0,0.0,0.0,0.9174603174603175
sub-085,EEG_Only,0.9600000000000001,0.8577777777777779,0.9333333333333333,0.8111111111111111,0.9871080139372822
sub-085,Fused_EEG_ECG,0.9532905982905983,0.8177777777777777,0.8,0.888888888888889,0.9871467286101433
sub-086,ECG_Only,0.6494756549443319,0.10434941536695923,0.12666666666666665,0.09077044959397901,0.8081984897518878
sub-086,EEG_Only,0.9992753623188406,0.9574269005847954,0.9733333333333333,0.9430303030303031,0.9915096135541596
sub-086,Fused_EEG_ECG,0.9991232490087095,0.9608563893393615,0.951851851851852,0.9738047138047139,0.9928231486769464
sub-087,ECG_Only,0.4785474992309891,0.12123441428040328,0.19595959595959597,0.08780285767158344,0.744004920326581
sub-087,EEG_Only,1.0,1.0,1.0,1.0,1.0
sub-087,Fused_EEG_ECG,1.0,1.0,1.0,1.0,1.0
sub-089,ECG_Only,0.6302278977061585,0.0057998423955870765,0.012121212121212121,0.003812636165577342,0.8736541852504927
sub-089,EEG_Only,1.0,1.0,1.0,1.0,1.0
sub-089,Fused_EEG_ECG,1.0,1.0,1.0,1.0,1.0
sub-090,ECG_Only,0.6090525243913991,0.32206217785568136,0.37477777777777777,0.2864708348941587,0.5930964625214276
sub-090,EEG_Only,1.0,0.9932460927633464,0.9972222222222222,0.9895384615384616,0.9964001870032726
